TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN BARRIER,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was driving down the street with no traffic controls in sight, just minding my own business on the straight and level road. It was a rainy day, but at least it was still daylight so I could see clearly. The roadway was wet, making it a bit slippery, but I was keeping to the posted speed limit of 30 miles per hour. The road was divided with a median barrier, separating the lanes of traffic. Despite the weather conditions, I was cautious and focused on the road ahead, keeping my eyes peeled for any potential hazards."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,20,PARKING LOT,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I cruised through the parking lot, the sun shining bright in the clear sky above me, I noticed that there were no traffic control devices in sight. The road ahead was straight and level, with the dry surface making for smooth driving. With a posted speed limit of just 20 mph, I carefully navigated the area, keeping an eye out for any potential obstacles. The daylight conditions made it easy to see everything around me, from the parked cars to pedestrians crossing the lot. I felt relaxed, knowing that the weather was on my side and the road was in good condition for driving. Little did I know that a series of events would soon unfold, changing the course of my day."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"As I cruised down the straight and level road under the cover of darkness, there were no traffic control devices in sight. The weather was clear, so I had a clear view ahead. With the dry roadway surface under my wheels, I was feeling pretty confident. The posted speed limit of 25 mph kept me in check, and the fact that the trafficway wasn't divided meant I had to stay alert for oncoming vehicles. Despite the low speed limit, I was enjoying the peaceful drive, surrounded by the calm of the night."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road, the sun high up in the sky casting a bright light on the surroundings. The traffic signal ahead blinked green, indicating smooth sailing. The asphalt beneath my tires was dry and grippy, making for an easy drive. With a speed limit of 30, I kept a steady pace, taking in the clear weather around me. The road was not divided, giving me a clear view of the path ahead. The daylight illuminated everything around me, creating a serene atmosphere as I moved along the unobstructed roadway."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the road on a dark, rainy night when I approached a four-way intersection controlled by a traffic signal. The street was well lit despite the darkness, and the road was straight and level. The wet surface made me cautious as I stuck to the 30 mph speed limit. Despite the weather, I could see clearly thanks to the lighting around me. As I continued on my way, I remained alert at the intersection, keeping an eye out for other vehicles approaching from different directions."
STOP SIGN/FLASHER,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road in the darkness of the rainy night. The only light came from the streetlights, casting a shimmer on the wet road surface. I noticed a stop sign ahead, its red color reflecting in the rain. The posted speed limit was 30, so I slowed down, cautious of the slippery conditions. The road was not divided, and despite the rain, visibility was decent thanks to the lighted road. I kept a close eye on the surroundings, taking in the quiet of the night as I approached the intersection. It felt eerie, with the gentle tap-tap of rain on the windshield adding to the ambience. I double-checked my speed, making sure to obey the limit and be prepared for any sudden stops. The combination of the wet road surface and the stop sign ahead made me extra alert, ready to react quickly if needed. The calmness of the night was interrupted only by the sound of rain and the occasional passing car in the distance."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a street where there weren't any traffic lights or stop signs, so I had to be extra cautious. The rain was coming down heavily, making it a bit tricky to see ahead even though the road was lit up. Despite the darkness setting in, the road was straight and level, which helped me focus on staying in my lane. The surface was wet, adding an extra layer of challenge to the drive. The speed limit was just 30 miles per hour, so I made sure to keep a close eye on my speedometer. The road wasn't divided, so I had to be mindful of oncoming traffic."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,15,PARKING LOT,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I cruised through the parking lot on a rainy night with no traffic controls in sight, the darkness enveloped the surroundings. The road was well-lit, thankfully, and the dry surface beneath my wheels provided some comfort. With the speed limit set at a mere 15 miles per hour, I took it easy on the straight and level alignment of the road. Despite the weather conditions, I felt confident in my ability to navigate through the parking lot safely. The area was quiet, with only a few scattered vehicles parked haphazardly around. It was a peaceful night for a drive, with the gentle pitter-patter of rain creating a soothing backdrop to my journey. Little did I know, however, that the tranquility of the moment was about to be disrupted."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I drove down the straight and level road under the dark, yet well-lit sky, I noticed there were no traffic controls in sight, which meant I had to be extra cautious. The weather was clear, and the road surface was dry, so I felt pretty confident about my journey. Despite the darkness, the road was well-lit, and I could see ahead clearly. The posted speed limit of 30 kept me in check, ensuring I didn't go too fast. The road was not divided, so I had to stay in my lane and watch out for oncoming traffic. The dry road surface gave me good traction, making me feel secure behind the wheel."
TRAFFIC SIGNAL,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road, approaching a four-way intersection. The traffic signal ahead was showing green as I drove through the dusk-lit street with clear weather conditions. The roadway was straight and level, and the surface was dry, providing good traction. The posted speed limit of 30 mph kept me at a steady pace. The four-way intersection was busy but everyone seemed to be following the rules of the road. As I neared the intersection, I took a quick glance at the surrounding area, noting the buildings and trees lining the streets. The cool breeze flowed through my open window as I continued on my way, enjoying the peaceful evening drive."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT ON GRADE,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight road on a slight incline, with no traffic controls in sight. The weather was clear, and the daylight was casting a warm glow on the surroundings. The road surface was dry beneath my tires as I followed the posted speed limit of 30 mph. It was a typical drive through a non-divided roadway, with no obstacles in my way. The conditions seemed perfect for a smooth journey ahead."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road with no traffic controls in place. The daylight was slowly fading as rain started to fall, making the roadway surface wet and slick. The posted speed limit was 30 miles per hour, but I made sure to drive cautiously, knowing the conditions were less than ideal. The road was not divided, so I stayed in my lane, focusing on the journey ahead. Despite the rain, visibility was decent as I navigated through the damp streets, keeping a lookout for any potential hazards."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,45,DIVIDED - W/MEDIAN BARRIER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the divided highway with a median barrier on a clear night. There weren't any traffic control devices to worry about, just a straight and level stretch of road ahead. Even though it was dark, the road was well-lit, and the dry surface made for smooth driving. The posted speed limit of 45 mph was easy to maintain, and I felt at ease in this familiar setting."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ONE-WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",INCAPACITATING INJURY,4,"I was cruising down this one-way street with no stop signs or traffic lights in sight. It was a clear night, but pretty dark since the road was only lit by streetlights. The road was flat and smooth, making it easy to stay on course. However, the wet surface from earlier rain made me a bit cautious. The speed limit was just 30 mph, so I was taking it easy, just enjoying the drive."
TRAFFIC SIGNAL,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the road early in the morning, the sky just starting to lighten up as dawn approached. The traffic signal ahead was on green, so I kept cruising along the straight and level road. The weather was clear, making visibility pretty good, and the dry road surface felt smooth under my tires. The posted speed limit was just 30, which was fine by me since I wasn't in a hurry. The road wasn't divided, but it wasn't too busy at this hour, so I didn't mind. All in all, it seemed like a typical morning commute, with everything in its right place."
STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,25,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,2,"As I drove down the familiar stretch of road, I noticed the stop sign up ahead, indicating a four-way intersection. Even though it was nighttime, the road was well-lit, casting a soft glow on the dry asphalt surface. The posted speed limit of 25 seemed reasonable, considering the clear weather conditions. The straight and level alignment of the road made it easy to navigate through the intersection. The flashers at the stop signs blinked rhythmically, adding an extra layer of caution to the intersection. Overall, everything seemed calm and under control as I approached the intersection at this quiet hour."
OTHER,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,25,PARKING LOT,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"As I was casually driving through the parking lot on a straight and level road, I noticed that the traffic control device was something other than the usual stop sign or traffic light. The weather condition was unknown, but thankfully it was a bright daylight, making visibility pretty clear. The surface seemed normal, though I couldn't quite figure out if it was wet or dry. The speed limit here was 25, so I made sure to keep it in check. It was a simple drive with not much traffic around; just me and a few other cars scattered about."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic lights or signs to dictate my speed in the darkness of night. The road was dimly illuminated, making it a bit challenging to see far ahead. The speed limit was just 25 miles per hour, and the road was not divided, so I had to be extra cautious in case vehicles were coming from the opposite direction. The weather condition was unknown, adding a touch of unpredictability to the atmosphere. The surface of the road felt normal under my tires, although I couldn't quite tell if it was wet or dry. Overall, it was a relatively quiet drive, with only a few cars passing by every now and then. But little did I know, what was about to unfold on this seemingly uneventful journey."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,35,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road, enjoying the clear weather and daylight shining brightly. The traffic signal ahead was my only concern, but it was green as I coasted along the straight and level stretch of road. The dry pavement under my tires gave me a sense of security as I maintained a steady speed of 35 miles per hour. The road wasn't divided, but that was fine with me – no need for extra lanes on this peaceful drive. Everything seemed calm and ordinary as I continued on my way."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,20,ONE-WAY,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was driving down a one-way street with no traffic lights in sight, not sure about the weather and lighting conditions around me. The road was straight and level, and the surface seemed fine. The posted speed limit was only 20 miles per hour, so I made sure to keep a close eye on my speed. It was a quiet street, not much traffic around. I was just cruising along, taking in the surroundings, when suddenly..."
TRAFFIC SIGNAL,UNKNOWN,DARKNESS,STRAIGHT AND LEVEL,UNKNOWN,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down this straight and level road with a four-way intersection ahead. The traffic signal was showing red for the cross traffic, so I had the right of way. It was dark out, and I couldn't see much of the surroundings. The road surface condition was unknown, but it felt smooth under my wheels. The posted speed limit was 30, so I was cruising along at a moderate pace. I couldn't tell what the weather was like since it was nighttime. The intersection seemed quiet, with no cars approaching from the other directions. I was cautious, making sure to keep a lookout for any sudden movements."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,ALLEY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down this straight and level alley, and there were no controls to worry about. It was a clear day with plenty of daylight, so visibility was good. The road surface was dry, which made for smooth driving. The posted speed limit was 30, so I was taking it easy. The alley was pretty quiet, just me cruising along."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road in the darkness with the road illuminated by streetlights. It had been raining for a while, making the roadway surface wet and a bit slippery. The traffic signal up ahead indicated I should slow down as the posted speed limit was only 30. The road was not divided, so I had to stay in my lane and be extra cautious of oncoming traffic. The combination of rain, darkness, and wet road surface made me grip the steering wheel a little tighter, trying to focus on the road ahead as the streetlights cast a shimmering reflection on the pavement."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,T-INTERSECTION,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight, taking it easy as the light of day beamed down through the rain. The pavement was slick and wet, causing me to grip the steering wheel a little tighter than usual. The posted speed limit was 30, so I was just chugging along, minding my own business. Approaching a T-intersection up ahead, I could see other vehicles starting to slow down as they got closer to the intersecting road. Despite the rain, visibility was decent, and I made sure to adjust my speed accordingly. The whole scene felt a bit tense with all the water splashing around, but I kept my cool and stayed focused on the road ahead."
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DUSK,STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500","REPORTED, NOT EVIDENT",1,"So there I was, cruising down the straight and level road, following the traffic signals at the four-way intersection. The sky above was covered in a blanket of cloudy overcast, making it seem darker in the dusk light. The wet roadway surface gleamed under the faint glow of the streetlights, causing me to grip the wheel a bit tighter. With a speed limit of 30 mph posted, I made sure to keep a steady pace, wary of any sudden maneuvers from other drivers. The intersection felt busy, with cars coming from all directions, creating a symphony of movement and honking horns. Despite the conditions, I maintained focus, ready to navigate through the bustling crossroads."
NO CONTROLS,OTHER,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I made my way down the straight and level road under the veil of darkness, the only source of light being the street lamps overhead, I noticed that there were no traffic control devices in sight. The wet surface of the roadway glistened under the glare of the lights, causing me to grip the steering wheel a little tighter. Despite the posted speed limit of 30, I couldn't help but feel a sense of unease as I navigated the unmarked path ahead. The road, not divided, stretched out before me like a shimmering ribbon, surrounded by shadowy silhouettes of buildings and trees. The weather conditions were peculiar, with a hint of something other than the usual rain or fog in the air. As I pressed on, my senses on high alert, the combination of factors made me hyper-aware of my surroundings, a feeling of anticipation building in the pit of my stomach."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,55,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down the road, no stop signs or traffic lights in sight, just cruising along. The rain was coming down pretty hard, making visibility a little tricky, but luckily the road was well lit. It was dark out, but the street lights helped guide my way on the straight and level road. The pavement was glistening with a slick layer of water, the wet surface adding an extra challenge to the drive. The speed limit was 55, so I was keeping a close eye on my speedometer. This wasn't a highway or a residential street, just some other type of roadway. Just me and the road, navigating through the rainy night."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"As I approached the intersection, I noticed a traffic signal ahead, signaling the four-way stop. The weather was clear, with a starry sky above. Despite the darkness, the road was well-lit, allowing me to see clearly. The alignment of the road was straight and level, giving me a smooth path to follow. The roadway surface was dry, providing good traction for my vehicle as I maintained the 30 mph speed limit. The four-way intersection was bustling with activity, with other cars approaching from different directions. I cautiously navigated through the intersection, keeping an eye out for any potential hazards. The combination of clear weather, well-lit road, and dry surface made for a pleasant and uneventful drive so far."
STOP SIGN/FLASHER,FREEZING RAIN/DRIZZLE,DARKNESS,STRAIGHT AND LEVEL,WET,35,PARKING LOT,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving through a dimly lit parking lot, following the straight and level alignment. The freezing rain made the road surface wet and slippery, causing me to grip the steering wheel a bit tighter. Up ahead, I noticed a stop sign with its flashers on, indicating I needed to come to a halt. The darkness made it challenging to see clearly, and the drizzle intensified, adding to the already tricky conditions. Despite the posted speed limit of 35, I was cautious as I navigated through the slick surface. My focus was solely on the road ahead, trying to anticipate any obstacles in my path."
NO CONTROLS,CLEAR,DARKNESS,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"Alright, so it was a clear night and pretty dark out there. I was driving down a straight and level road with no controls in sight. The road was a bit wet from the earlier rain, making it a little slick. The posted speed limit was 30, so I was cruising along, keeping an eye out. The road wasn't divided, just a single lane in each direction. Despite the darkness, my headlights were cutting through the night, revealing the road ahead."
TRAFFIC SIGNAL,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,UNKNOWN,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"So there I was, cruising down the road with a traffic signal up ahead. It was nighttime, but luckily the road was well-lit, making it easy to see. The path was straight and level, divided with a median in the middle. I wasn't sure about the weather conditions, but it seemed calm enough. The posted speed limit was 30, so I made sure to stick to it. The surroundings were quiet, with only a few other cars on the road. Despite not knowing the exact roadway surface condition, everything felt smooth and steady as I drove along."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, soaking up the sunlight on a clear day. With no traffic control devices in sight, I kept my speed in check as the dry road surface provided good traction. The posted speed limit of 30 was easy to follow, and since the roadway wasn't divided, I made sure to stay within my lane. The daylight made everything clearer, giving me a good view of the surrounding area as I continued on my way."
STOP SIGN/FLASHER,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,NONINCAPACITATING INJURY,1,"I was cruising down a four-way street on a cloudy afternoon, the daylight shining through the overcast skies. The stop sign ahead signaled me to slow down as I approached the intersection. The road was straight and level, with a wet surface glistening under my wheels. Despite the posted speed limit of 30, I gently eased off the gas, staying cautious of the slippery conditions. The flasher nearby added an extra layer of caution to my drive, making sure to keep an eye out for any unexpected movements. The intersection was quiet, with no other cars in sight, allowing me to navigate the wet road with ease."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,15,ALLEY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down an alley on a straight and level road with no traffic controls in sight. The rain was coming down pretty hard, making the roadway surface wet and slick. Despite it being daylight, the wet conditions made visibility a bit challenging. I noticed the posted speed limit was only 15 miles per hour, so I made sure to keep my speed in check. The alley seemed deserted, with no other vehicles in sight. The combination of the rain and the wet road made me extra cautious as I navigated through the alley, making sure to stay focused on the road ahead."
TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I was driving down the straight and level road, I noticed the traffic signal up ahead. The daylight was shining brightly, and the road surface seemed dry and in good condition. The posted speed limit of 30 mph kept me in check as I continued on my way. The trafficway type was classified as ""other,"" but everything seemed normal around me. Despite the unknown weather conditions, I felt confident in my surroundings. The combination of these factors created a sense of ease as I navigated through the area."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a one-way street with no traffic controls in place. It was raining pretty heavily, and the road was wet. Even though it was dark outside, the road was well-lit, so I could see clearly ahead. The street was straight and level, making it easy to navigate despite the weather. The posted speed limit was 30 miles per hour, so I was taking it slow and being cautious. The conditions were a bit tricky, but I was confident in my ability to handle them."
